wig_20_id,name_index,ticker,kurs,zmiana,zmiana_pr,wplyw_na_indeks,udział_w_obrocie,pakiet,udział_portfel
1,ALIOR,ALR,27.20,-0.60,-2.16,-0.03,1.2100,88860000,1.22
2,CCC,CCC,87.50,-3.70,-4.06,-0.05,2.5000,27918000,1.24
3,CDPROJEKT,CDR,271.00,-5.00,-1.81,-0.17,10.8200,67348000,9.24
4,CYFRPLSAT,CPS,26.60,-0.80,-2.92,-0.11,2.2100,275301000,3.71
5,DINOPL,DNP,153.90,-7.90,-4.88,-0.18,6.4200,47937000,3.74
6,JSW,JSW,19.20,-1.34,-6.52,-0.03,3.3700,52636000,0.51
7,KGHM,KGH,93.16,-4.20,-4.31,-0.28,14.8300,136410000,6.44
8,LOTOS,LTS,83.50,-2.36,-2.75,-0.10,2.2500,86543000,3.66
9,LPP,LPP,8385.00,-200.00,-2.33,-0.13,1.5200,1306000,5.55
10,MBANK,MBK,362.40,-16.60,-4.38,-0.10,0.6000,12995000,2.38
11,ORANGEPL,OPL,7.05,-0.26,-3.49,-0.08,1.7500,647357000,2.31
12,PEKAO,PEO,97.46,-3.04,-3.02,-0.26,10.5600,176379000,8.71
13,PGE,PGE,7.14,-0.30,-4.03,-0.12,1.6900,796776000,2.88
14,PGNIG,PGN,3.86,-0.20,-4.98,-0.16,3.0400,1624608000,3.17
15,PKNORLEN,PKN,82.58,-2.94,-3.44,-0.42,12.3500,289049000,12.09
16,PKOBP,PKO,34.46,-1.26,-3.53,-0.49,13.8800,799157000,13.95
17,PLAY,PLY,35.70,-0.70,-1.92,-0.04,1.5600,114059000,2.06
18,PZU,PZU,40.59,-0.90,-2.17,-0.25,6.2500,568305000,11.68
19,SANPL,SPL,277.40,-14.60,-5.00,-0.23,2.4800,33207000,4.66
20,TAURONPE,TPE,1.51,-0.06,-3.75,-0.03,0.7100,1043590000,0.80
